Name,Division,Wins,Loses,Draws,Nickname,Height,Weight,Reach,Stance,DOB
Cameron Else,Bantamweight,10,5,0,NA,"5' 9""",135 lbs.,"71""",Switch,1987-04-27
Carla Esparza,Women's Strawweight,19,6,0,Cookie Monster,"5' 1""",115 lbs.,"63""",Orthodox,1987-10-10
Carlo Pedersoli Jr.,Welterweight,11,3,0,Semento,"5' 11""",170 lbs.,"75""",Southpaw,1993-06-08
Carlos Condit,Welterweight,32,14,0,The Natural Born Killer,"6' 2""",170 lbs.,"75""",Orthodox,1984-04-26
Carlos Felipe,Heavyweight,11,1,0,Boi,"6' 0""",245 lbs.,"75""",Orthodox,1995-01-12
Carlos Huachin,Bantamweight,10,5,1,Perro Malo,"5' 4""",135 lbs.,"67""",Southpaw,1996-06-04
Carlos Ulberg,Light Heavyweight,5,1,0,Black Jag,"6' 4""",205 lbs.,"77""",Orthodox,1990-11-07
Carlston Lindsay Harris,Welterweight,16,4,0,Moçambique,"6' 0""",170 lbs.,,,1987-07-09
Carlton Minus,Welterweight,10,3,0,Clutch,"5' 10""",170 lbs.,"75""",Orthodox,1993-04-26
Casey Kenney,Bantamweight,16,3,1,NA,"5' 7""",140 lbs.,"68""",Southpaw,1991-03-20
Casey O'Neill,Women's Flyweight,7,0,0,King,"5' 6""",125 lbs.,"69""",,1997-10-07
Cat Zingano,Women's Featherweight,10,4,0,Alpha,"5' 6""",145 lbs.,"68""",Southpaw,1982-07-01
C.B. Dollaway,Middleweight,18,10,0,The Doberman,"6' 2""",185 lbs.,"76""",Orthodox,1983-08-10
Cezar Ferreira,Middleweight,14,7,0,Mutante,"6' 1""",185 lbs.,"78""",Southpaw,1985-02-15
Chad Laprise,Welterweight,14,4,0,The Disciple,"5' 10""",170 lbs.,"71""",Orthodox,1986-07-23
Chad Mendes,Featherweight,18,5,0,Money,"5' 6""",145 lbs.,"66""",Orthodox,1985-05-01
Chan Sung Jung,Featherweight,17,6,0,The Korean Zombie,"5' 7""",145 lbs.,"72""",Orthodox,1987-03-17
Chance Rencountre,Welterweight,14,4,0,Black Eagle,"6' 2""",170 lbs.,"75""",Southpaw,1986-12-31
Chanmi Jeon,Women's Strawweight,5,2,0,Ottogi Girl,,,,,
Charles Byrd,Middleweight,10,7,0,Kid Dynamite,"5' 10""",185 lbs.,"73""",Orthodox,1983-10-11
Charles Jourdain,Featherweight,10,3,1,Air,"5' 9""",145 lbs.,"69""",Switch,1995-11-27
Charles Oliveira,Lightweight,31,8,0,Do Bronx,"5' 10""",155 lbs.,"74""",Orthodox,1989-10-17
Charles Rosa,Featherweight,14,5,0,Boston Strong,"5' 9""",145 lbs.,"69""",Switch,1986-08-24
Charlie Ontiveros,Middleweight,11,7,0,The American Bad Boy,"6' 2""",185 lbs.,"78""",Switch,1991-07-04
Chas Skelly,Featherweight,18,3,0,The Scrapper,"5' 11""",145 lbs.,"72""",Orthodox,1985-05-11
Chase Hooper,Featherweight,10,2,1,The Dream,"6' 1""",145 lbs.,"74""",Southpaw,1999-09-13
Chase Sherman,Heavyweight,15,7,0,The Vanilla Gorilla,"6' 4""",250 lbs.,"78""",Orthodox,1989-11-16
Chelsea Hackett,Women's Flyweight,0,0,0,NA,"5' 4""",125 lbs.,"66""",Switch,1998-08-16
Cheyanne Buys,Women's Strawweight,5,2,0,NA,"5' 3""",115 lbs.,"63""",Switch,1995-06-25
Chris Barnett,Heavyweight,21,7,0,Beastboy,,,,,
Chris Daukaus,Heavyweight,11,3,0,NA,"6' 3""",250 lbs.,"76""",Orthodox,1989-09-25
Chris de la Rocha,Heavyweight,5,3,0,NA,"6' 3""",250 lbs.,"80""",Orthodox,1979-05-15
Chris Fishgold,Featherweight,18,4,1,NA,"5' 8""",145 lbs.,"68""",Orthodox,1992-06-06
Chris Gruetzemacher,Lightweight,14,4,0,Gritz,"5' 8""",155 lbs.,"68""",Orthodox,1986-06-16
Chris Gutierrez,Bantamweight,16,3,2,El Guapo,"5' 9""",145 lbs.,"67""",Orthodox,1991-04-22
Chris Holdsworth,Bantamweight,7,0,0,Holds It Down,"5' 11""",135 lbs.,,,1987-10-24
Chris Weidman,Middleweight,15,6,0,The All-American,"6' 2""",185 lbs.,"78""",Orthodox,1984-06-17
Christian Aguilera,Welterweight,14,8,0,The Beast,"5' 9""",170 lbs.,"72""",Switch,1991-11-25
Christos Giagos,Lightweight,19,8,0,The Spartan,"5' 10""",155 lbs.,"71""",Orthodox,1990-01-23
Ciryl Gane,Heavyweight,9,0,0,Bon Gamin,"6' 4""",245 lbs.,"81""",Orthodox,1990-04-12
Claudia Gadelha,Women's Strawweight,18,5,0,Claudinha,"5' 4""",115 lbs.,"63""",Orthodox,1988-12-07
Claudio Puelles,Lightweight,11,2,0,El Nino,"5' 11""",155 lbs.,"72""",Southpaw,1996-04-21
Claudio Silva,Welterweight,14,3,0,Hannibal,"5' 11""",170 lbs.,"71""",Southpaw,1982-09-06
Clay Collard,Featherweight,14,7,0,Cassius,"5' 11""",145 lbs.,"73""",Orthodox,1993-03-10
Clay Guida,Lightweight,36,17,0,The Carpenter,"5' 7""",155 lbs.,"70""",Orthodox,1981-12-08
Cody Durden,Flyweight,11,2,1,NA,"5' 7""",125 lbs.,"67""",Southpaw,1991-03-29
Cody Garbrandt,Bantamweight,12,4,0,No Love,"5' 8""",135 lbs.,"65""",Orthodox,1991-07-07
Cody Stamann,Bantamweight,19,4,1,Spartan,"5' 6""",145 lbs.,"64""",Orthodox,1989-11-09
Colby Covington,Welterweight,15,2,0,Chaos,"5' 11""",170 lbs.,"72""",Orthodox,1988-02-22
Cole Smith,Bantamweight,7,2,0,The Cole Train,"5' 11""",135 lbs.,"67""",Orthodox,1989-04-05
Cole Williams,Welterweight,11,3,0,Havoc,"6' 0""",170 lbs.,"73""",Orthodox,1983-12-15
Collin Anglin,Featherweight,8,1,0,NA,"5' 9""",145 lbs.,"71""",Orthodox,1993-02-20
Collin Huckbody,Middleweight,1,0,0,All In,"6' 3""",185 lbs.,"76""",Orthodox,1994-09-29
Conor McGregor,Lightweight,22,6,0,The Notorious,"5' 9""",155 lbs.,"74""",Southpaw,1988-07-14
Corey Anderson,Light Heavyweight,14,5,0,Overtime,"6' 3""",205 lbs.,"79""",Orthodox,1989-09-22
Cortney Casey,Women's Bantamweight,9,8,0,Cast Iron,"5' 7""",125 lbs.,"67""",Orthodox,1987-05-05
Cory McKenna,Women's Strawweight,5,1,0,The Hobbit,"5' 3""",115 lbs.,"58""",Orthodox,1999-11-07
Cory Sandhagen,Bantamweight,14,3,0,NA,"5' 11""",135 lbs.,"70""",Switch,1992-04-20
Costas Philippou,Middleweight,13,5,0,NA,,,,,
Court McGee,Welterweight,21,10,0,The Crusher,"5' 11""",170 lbs.,"75""",Orthodox,1984-12-12
Craig White,Welterweight,14,9,0,The Thundercat,"6' 2""",170 lbs.,"76""",Orthodox,1990-07-01
Cristiane Justino,Women's Featherweight,20,2,0,NA,"5' 8""",145 lbs.,"68""",Orthodox,1985-07-09
Cub Swanson,Featherweight,27,12,0,NA,"5' 8""",145 lbs.,"70""",Orthodox,1983-11-02
Curtis Blaydes,Heavyweight,14,3,0,Razor,"6' 4""",265 lbs.,"80""",Orthodox,1991-02-18
Curtis Millender,Welterweight,17,5,0,Curtious,"6' 2""",170 lbs.,"76""",Orthodox,1987-12-01
Cynthia Calvillo,Women's Flyweight,9,1,1,NA,"5' 4""",125 lbs.,"64""",Orthodox,1987-07-13
Cyril Asker,Heavyweight,9,4,0,Silverback,"6' 0""",247 lbs.,"74""",Orthodox,1985-12-24
Da Un Jung,Light Heavyweight,14,2,1,Sseda,,,,,
Dakota Bush,Lightweight,8,3,0,NA,,,,,
Dalcha Lungiambula,Middleweight,11,2,0,Champion,"5' 8""",185 lbs.,"76""",Orthodox,1987-07-31
Damian Stasiak,Bantamweight,10,6,0,Webster,"5' 5""",135 lbs.,"70""",Orthodox,1990-02-20
Damir Hadzovic,Lightweight,14,6,0,NA,"5' 9""",155 lbs.,"70""",Orthodox,1986-08-08
Damir Ismagulov,Lightweight,23,1,0,NA,"5' 9""",155 lbs.,"70""",Orthodox,1991-02-03
Damon Jackson,Featherweight,18,3,1,The Leech,"5' 11""",145 lbs.,"71""",Switch,1988-08-08
Dan Hardy,Welterweight,25,10,0,The Outlaw,"6' 0""",170 lbs.,"74""",Orthodox,1982-05-17
Dan Henderson,Middleweight,32,15,0,Hendo,"5' 11""",185 lbs.,"74""",Orthodox,1970-08-24
Dan Hooker,Lightweight,20,10,0,The Hangman,"6' 0""",155 lbs.,"75""",Switch,1990-02-13
Dan Ige,Featherweight,15,4,0,50K,"5' 7""",145 lbs.,"71""",Orthodox,1991-08-06
Dan Moret,Lightweight,13,6,0,The Hitman,"6' 0""",155 lbs.,"73""",Southpaw,1986-11-21
Danaa Batgerel,Bantamweight,9,2,0,Storm,,,,,
Daniel Cormier,Heavyweight,22,3,0,DC,"5' 11""",235 lbs.,"72""",Orthodox,1979-03-20
Daniel Pineda,Featherweight,27,14,0,The Pit,"5' 7""",145 lbs.,"69""",Orthodox,1985-08-06
Daniel Rodriguez,Welterweight,15,2,0,D-Rod,"6' 1""",170 lbs.,"74""",Southpaw,1986-12-31
Daniel Spitz,Heavyweight,6,3,0,Daddy Long Legs,"6' 7""",245 lbs.,"82""",Orthodox,1990-07-31
Daniel Teymur,Featherweight,7,4,0,Kid Dynamite,"5' 5""",145 lbs.,"69""",Orthodox,1988-02-03
Danilo Belluardo,Lightweight,12,5,0,Caterpillar,"6' 0""",155 lbs.,"74""",Southpaw,1994-07-21
Danilo Marques,Light Heavyweight,11,3,0,NA,"6' 6""",205 lbs.,"77""",Orthodox,1985-12-26
Danny Chavez,Featherweight,11,4,0,The Colombian Warrior,"5' 8""",145 lbs.,"67""",Orthodox,1987-03-14
Danny Henry,Featherweight,12,4,0,The Hatchet,"6' 0""",145 lbs.,"73""",Orthodox,1988-07-17
Danny Roberts,Welterweight,17,5,0,Hot Chocolate,"6' 1""",170 lbs.,"74""",Southpaw,1987-07-14
Danny Sabatello,Bantamweight,0,0,0,NA,"5' 10""",135 lbs.,"71""",Orthodox,1993-03-31
