Year,Team,Sport,Result,Metropolitan area,Country,Population (2016 est)
2014,Seattle Seahawks,NFL,Champion,Seattle,United States,3798902
2015,New England Patriots,NFL,Champion,Boston,United States,4794447
2016,Denver Broncos,NFL,Champion,Denver,United States,2853077
2017,New England Patriots,NFL,Champion,Boston,United States,4794447
2018,Philadelphia Eagles,NFL,Champion,Philadelphia,United States,6070500
1927,Ottawa Senators,NHL,Champion,Ottawa,Canada,1323783
1928,New York Rangers,NHL,Champion,New York City,United States,20153634
1929,Boston Bruins,NHL,Champion,Boston,United States,4794447
1930,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1931,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1932,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1933,New York Rangers,NHL,Champion,New York City,United States,20153634
1934,Chicago Black Hawks,NHL,Champion,Chicago,United States,9512999
1935,Montreal Maroons,NHL,Champion,Montreal,Canada,4098927
1936,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1937,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1938,Chicago Black Hawks,NHL,Champion,Chicago,United States,9512999
1939,Boston Bruins,NHL,Champion,Boston,United States,4794447
1940,New York Rangers,NHL,Champion,New York City,United States,20153634
1941,Boston Bruins,NHL,Champion,Boston,United States,4794447
1942,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1943,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1944,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1945,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1946,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1947,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1948,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1949,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1950,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1951,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1952,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1953,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1954,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1955,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1956,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1957,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1958,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1959,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1960,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1961,Chicago Black Hawks,NHL,Champion,Chicago,United States,9512999
1962,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1963,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1964,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1965,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1966,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1967,Toronto Maple Leafs,NHL,Champion,Toronto,Canada,5928040
1968,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1969,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1970,Boston Bruins,NHL,Champion,Boston,United States,4794447
1971,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1972,Boston Bruins,NHL,Champion,Boston,United States,4794447
1973,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1974,Philadelphia Flyers,NHL,Champion,Philadelphia,United States,6070500
1975,Philadelphia Flyers,NHL,Champion,Philadelphia,United States,6070500
1976,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1977,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1978,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1979,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1980,New York Islanders,NHL,Champion,New York City,United States,20153634
1981,New York Islanders,NHL,Champion,New York City,United States,20153634
1982,New York Islanders,NHL,Champion,New York City,United States,20153634
1983,New York Islanders,NHL,Champion,New York City,United States,20153634
1984,Edmonton Oilers,NHL,Champion,Edmonton,Canada,1321426
1985,Edmonton Oilers,NHL,Champion,Edmonton,Canada,1321426
1986,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1987,Edmonton Oilers,NHL,Champion,Edmonton,Canada,1321426
1988,Edmonton Oilers,NHL,Champion,Edmonton,Canada,1321426
1989,Calgary Flames,NHL,Champion,Calgary,Canada,1392609
1990,Edmonton Oilers,NHL,Champion,Edmonton,Canada,1321426
1991,Pittsburgh Penguins,NHL,Champion,Pittsburgh,United States,2342299
1992,Pittsburgh Penguins,NHL,Champion,Pittsburgh,United States,2342299
1993,Montreal Canadiens,NHL,Champion,Montreal,Canada,4098927
1994,New York Rangers,NHL,Champion,New York City,United States,20153634
1995,New Jersey Devils,NHL,Champion,New York City,United States,20153634
1996,Colorado Avalanche,NHL,Champion,Denver,United States,2853077
1997,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1998,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
1999,Dallas Stars,NHL,Champion,Dallas–Fort Worth,United States,7233323
2000,New Jersey Devils,NHL,Champion,New York City,United States,20153634
2001,Colorado Avalanche,NHL,Champion,Denver,United States,2853077
2002,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
2003,New Jersey Devils,NHL,Champion,New York City,United States,20153634
2004,Tampa Bay Lightning,NHL,Champion,Tampa Bay Area,United States,3032171
2006,Carolina Hurricanes,NHL,Champion,Raleigh,United States,
2007,Anaheim Ducks,NHL,Champion,Los Angeles,United States,13310447
2008,Detroit Red Wings,NHL,Champion,Detroit,United States,4297617
2009,Pittsburgh Penguins,NHL,Champion,Pittsburgh,United States,2342299
2010,Chicago Blackhawks,NHL,Champion,Chicago,United States,9512999
2011,Boston Bruins,NHL,Champion,Boston,United States,4794447
2012,Los Angeles Kings,NHL,Champion,Los Angeles,United States,13310447
2013,Chicago Blackhawks,NHL,Champion,Chicago,United States,9512999
2014,Los Angeles Kings,NHL,Champion,Los Angeles,United States,13310447
2015,Chicago Blackhawks,NHL,Champion,Chicago,United States,9512999
2016,Pittsburgh Penguins,NHL,Champion,Pittsburgh,United States,2342299
2017,Pittsburgh Penguins,NHL,Champion,Pittsburgh,United States,2342299
2018,Washington Capitals,NHL,Champion,"Washington, D.C.",United States,6131977
1903,Boston Americans,MLB,Champion,Boston,United States,4794447
1905,New York Giants,MLB,Champion,New York City,United States,20153634
1906,Chicago White Sox,MLB,Champion,Chicago,United States,9512999
1907,Chicago Cubs,MLB,Champion,Chicago,United States,9512999
1908,Chicago Cubs,MLB,Champion,Chicago,United States,9512999
1909,Pittsburgh Pirates,MLB,Champion,Pittsburgh,United States,2342299
1910,Philadelphia Athletics,MLB,Champion,Philadelphia,United States,6070500
1911,Philadelphia Athletics,MLB,Champion,Philadelphia,United States,6070500
1912,Boston Red Sox,MLB,Champion,Boston,United States,4794447
1913,Philadelphia Athletics,MLB,Champion,Philadelphia,United States,6070500
1914,Boston Braves,MLB,Champion,Boston,United States,4794447
1915,Boston Red Sox,MLB,Champion,Boston,United States,4794447
1916,Boston Red Sox,MLB,Champion,Boston,United States,4794447
1917,Chicago White Sox,MLB,Champion,Chicago,United States,9512999
1918,Boston Red Sox,MLB,Champion,Boston,United States,4794447
1919,Cincinnati Reds,MLB,Champion,Cincinnati,United States,2165139
1920,Cleveland Indians,MLB,Champion,Cleveland,United States,2055612
1921,New York Giants,MLB,Champion,New York City,United States,20153634
1922,New York Giants,MLB,Champion,New York City,United States,20153634
1923,New York Yankees,MLB,Champion,New York City,United States,20153634
1924,Washington Senators,MLB,Champion,"Washington, D.C.",United States,6131977
1925,Pittsburgh Pirates,MLB,Champion,Pittsburgh,United States,2342299
1926,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1927,New York Yankees,MLB,Champion,New York City,United States,20153634
1928,New York Yankees,MLB,Champion,New York City,United States,20153634
1929,Philadelphia Athletics,MLB,Champion,Philadelphia,United States,6070500
1930,Philadelphia Athletics,MLB,Champion,Philadelphia,United States,6070500
1931,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1932,New York Yankees,MLB,Champion,New York City,United States,20153634
1933,New York Giants,MLB,Champion,New York City,United States,20153634
1934,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1935,Detroit Tigers,MLB,Champion,Detroit,United States,4297617
1936,New York Yankees,MLB,Champion,New York City,United States,20153634
1937,New York Yankees,MLB,Champion,New York City,United States,20153634
1938,New York Yankees,MLB,Champion,New York City,United States,20153634
1939,New York Yankees,MLB,Champion,New York City,United States,20153634
1940,Cincinnati Reds,MLB,Champion,Cincinnati,United States,2165139
1941,New York Yankees,MLB,Champion,New York City,United States,20153634
1942,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1943,New York Yankees,MLB,Champion,New York City,United States,20153634
1944,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1945,Detroit Tigers,MLB,Champion,Detroit,United States,4297617
1946,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1947,New York Yankees,MLB,Champion,New York City,United States,20153634
1948,Cleveland Indians,MLB,Champion,Cleveland,United States,2055612
1949,New York Yankees,MLB,Champion,New York City,United States,20153634
1950,New York Yankees,MLB,Champion,New York City,United States,20153634
1951,New York Yankees,MLB,Champion,New York City,United States,20153634
1952,New York Yankees,MLB,Champion,New York City,United States,20153634
1953,New York Yankees,MLB,Champion,New York City,United States,20153634
1954,New York Giants,MLB,Champion,New York City,United States,20153634
1955,Brooklyn Dodgers,MLB,Champion,New York City,United States,20153634
1956,New York Yankees,MLB,Champion,New York City,United States,20153634
1957,Milwaukee Braves,MLB,Champion,Milwaukee,United States,1572482
1958,New York Yankees,MLB,Champion,New York City,United States,20153634
1959,Los Angeles Dodgers,MLB,Champion,Los Angeles,United States,13310447
1960,Pittsburgh Pirates,MLB,Champion,Pittsburgh,United States,2342299
1961,New York Yankees,MLB,Champion,New York City,United States,20153634
1962,New York Yankees,MLB,Champion,New York City,United States,20153634
1963,Los Angeles Dodgers,MLB,Champion,Los Angeles,United States,13310447
1964,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1965,Los Angeles Dodgers,MLB,Champion,Los Angeles,United States,13310447
1966,Baltimore Orioles,MLB,Champion,Baltimore,United States,2798886
1967,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1968,Detroit Tigers,MLB,Champion,Detroit,United States,4297617
1969,New York Mets,MLB,Champion,New York City,United States,20153634
1970,Baltimore Orioles,MLB,Champion,Baltimore,United States,2798886
1971,Pittsburgh Pirates,MLB,Champion,Pittsburgh,United States,2342299
1972,Oakland Athletics,MLB,Champion,San Francisco Bay Area,United States,6657982
1973,Oakland Athletics,MLB,Champion,San Francisco Bay Area,United States,6657982
1974,Oakland Athletics,MLB,Champion,San Francisco Bay Area,United States,6657982
1975,Cincinnati Reds,MLB,Champion,Cincinnati,United States,2165139
1976,Cincinnati Reds,MLB,Champion,Cincinnati,United States,2165139
1977,New York Yankees,MLB,Champion,New York City,United States,20153634
1978,New York Yankees,MLB,Champion,New York City,United States,20153634
1979,Pittsburgh Pirates,MLB,Champion,Pittsburgh,United States,2342299
1980,Philadelphia Phillies,MLB,Champion,Philadelphia,United States,6070500
1981,Los Angeles Dodgers,MLB,Champion,Los Angeles,United States,13310447
1982,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
1983,Baltimore Orioles,MLB,Champion,Baltimore,United States,2798886
1984,Detroit Tigers,MLB,Champion,Detroit,United States,4297617
1985,Kansas City Royals,MLB,Champion,Kansas City,United States,2104509
1986,New York Mets,MLB,Champion,New York City,United States,20153634
1987,Minnesota Twins,MLB,Champion,Minneapolis–Saint Paul,United States,3551036
1988,Los Angeles Dodgers,MLB,Champion,Los Angeles,United States,13310447
1989,Oakland Athletics,MLB,Champion,San Francisco Bay Area,United States,6657982
1990,Cincinnati Reds,MLB,Champion,Cincinnati,United States,2165139
1991,Minnesota Twins,MLB,Champion,Minneapolis–Saint Paul,United States,3551036
1992,Toronto Blue Jays,MLB,Champion,Toronto,Canada,5928040
1993,Toronto Blue Jays,MLB,Champion,Toronto,Canada,5928040
1995,Atlanta Braves,MLB,Champion,Atlanta,United States,5789700
1996,New York Yankees,MLB,Champion,New York City,United States,20153634
1997,Florida Marlins,MLB,Champion,Miami–Fort Lauderdale,United States,6066387
1998,New York Yankees,MLB,Champion,New York City,United States,20153634
1999,New York Yankees,MLB,Champion,New York City,United States,20153634
2000,New York Yankees,MLB,Champion,New York City,United States,20153634
2001,Arizona Diamondbacks,MLB,Champion,Phoenix,United States,4661537
2002,Anaheim Angels,MLB,Champion,Los Angeles,United States,13310447
2003,Florida Marlins,MLB,Champion,Miami–Fort Lauderdale,United States,6066387
2004,Boston Red Sox,MLB,Champion,Boston,United States,4794447
2005,Chicago White Sox,MLB,Champion,Chicago,United States,9512999
2006,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
2007,Boston Red Sox,MLB,Champion,Boston,United States,4794447
2008,Philadelphia Phillies,MLB,Champion,Philadelphia,United States,6070500
2009,New York Yankees,MLB,Champion,New York City,United States,20153634
2010,San Francisco Giants,MLB,Champion,San Francisco Bay Area,United States,6657982
2011,St. Louis Cardinals,MLB,Champion,St. Louis,United States,2807002
2012,San Francisco Giants,MLB,Champion,San Francisco Bay Area,United States,6657982
2013,Boston Red Sox,MLB,Champion,Boston,United States,4794447
2014,San Francisco Giants,MLB,Champion,San Francisco Bay Area,United States,6657982
2015,Kansas City Royals,MLB,Champion,Kansas City,United States,2104509
2016,Chicago Cubs,MLB,Champion,Chicago,United States,9512999
2017,Houston Astros,MLB,Champion,Houston,United States,6772470
2018,Boston Red Sox,MLB,Champion,Boston,United States,4794447
1947,Philadelphia Warriors,NBA,Champion,Philadelphia,United States,6070500
1948,Baltimore Bullets,NBA,Champion,Baltimore,United States,2798886
1949,Minneapolis Lakers,NBA,Champion,Minneapolis–Saint Paul,United States,3551036
1950,Minneapolis Lakers,NBA,Champion,Minneapolis–Saint Paul,United States,3551036
1951,Rochester Royals,NBA,Champion,Rochester,United States,
1952,Minneapolis Lakers,NBA,Champion,Minneapolis–Saint Paul,United States,3551036
1953,Minneapolis Lakers,NBA,Champion,Minneapolis–Saint Paul,United States,3551036
1954,Minneapolis Lakers,NBA,Champion,Minneapolis–Saint Paul,United States,3551036
1955,Syracuse Nationals,NBA,Champion,Syracuse,United States,
1956,Philadelphia Warriors,NBA,Champion,Philadelphia,United States,6070500
1957,Boston Celtics,NBA,Champion,Boston,United States,4794447
1958,St. Louis Hawks,NBA,Champion,St. Louis,United States,2807002
1959,Boston Celtics,NBA,Champion,Boston,United States,4794447
1960,Boston Celtics,NBA,Champion,Boston,United States,4794447
1961,Boston Celtics,NBA,Champion,Boston,United States,4794447
1962,Boston Celtics,NBA,Champion,Boston,United States,4794447
1963,Boston Celtics,NBA,Champion,Boston,United States,4794447
1964,Boston Celtics,NBA,Champion,Boston,United States,4794447
1965,Boston Celtics,NBA,Champion,Boston,United States,4794447
1966,Boston Celtics,NBA,Champion,Boston,United States,4794447
1967,Philadelphia 76ers,NBA,Champion,Philadelphia,United States,6070500
1968,Boston Celtics,NBA,Champion,Boston,United States,4794447
1969,Boston Celtics,NBA,Champion,Boston,United States,4794447
1970,New York Knicks,NBA,Champion,New York City,United States,20153634
1971,Milwaukee Bucks,NBA,Champion,Milwaukee,United States,1572482
1972,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1973,New York Knicks,NBA,Champion,New York City,United States,20153634
1974,Boston Celtics,NBA,Champion,Boston,United States,4794447
1975,Golden State Warriors,NBA,Champion,San Francisco Bay Area,United States,6657982
1976,Boston Celtics,NBA,Champion,Boston,United States,4794447
1977,Portland Trail Blazers,NBA,Champion,Portland,United States,2424955
1978,Washington Bullets,NBA,Champion,"Washington, D.C.",United States,6131977
1979,Seattle SuperSonics,NBA,Champion,Seattle,United States,3798902
1980,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1981,Boston Celtics,NBA,Champion,Boston,United States,4794447
1982,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1983,Philadelphia 76ers,NBA,Champion,Philadelphia,United States,6070500
1984,Boston Celtics,NBA,Champion,Boston,United States,4794447
1985,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1986,Boston Celtics,NBA,Champion,Boston,United States,4794447
1987,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1988,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
1989,Detroit Pistons,NBA,Champion,Detroit,United States,4297617
1990,Detroit Pistons,NBA,Champion,Detroit,United States,4297617
1991,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1992,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1993,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1994,Houston Rockets,NBA,Champion,Houston,United States,6772470
1995,Houston Rockets,NBA,Champion,Houston,United States,6772470
1996,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1997,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1998,Chicago Bulls,NBA,Champion,Chicago,United States,9512999
1999,San Antonio Spurs,NBA,Champion,San Antonio,United States,2429609
2000,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
2001,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
2002,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
2003,San Antonio Spurs,NBA,Champion,San Antonio,United States,2429609
2004,Detroit Pistons,NBA,Champion,Detroit,United States,4297617
2005,San Antonio Spurs,NBA,Champion,San Antonio,United States,2429609
2006,Miami Heat,NBA,Champion,Miami–Fort Lauderdale,United States,6066387
2007,San Antonio Spurs,NBA,Champion,San Antonio,United States,2429609
2008,Boston Celtics,NBA,Champion,Boston,United States,4794447
2009,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
2010,Los Angeles Lakers,NBA,Champion,Los Angeles,United States,13310447
2011,Dallas Mavericks,NBA,Champion,Dallas–Fort Worth,United States,7233323
2012,Miami Heat,NBA,Champion,Miami–Fort Lauderdale,United States,6066387
2013,Miami Heat,NBA,Champion,Miami–Fort Lauderdale,United States,6066387
2014,San Antonio Spurs,NBA,Champion,San Antonio,United States,2429609
2015,Golden State Warriors,NBA,Champion,San Francisco Bay Area,United States,6657982
2016,Cleveland Cavaliers,NBA,Champion,Cleveland,United States,2055612
2017,Golden State Warriors,NBA,Champion,San Francisco Bay Area,United States,6657982
2018,Golden State Warriors,NBA,Champion,San Francisco Bay Area,United States,6657982
1968,Atlanta Chiefs,MLS,Champion,Atlanta,United States,5789700
1970,Rochester Lancers,MLS,Champion,Rochester,United States,
1971,Dallas Tornado,MLS,Champion,Dallas–Fort Worth,United States,7233323
1972,New York Cosmos,MLS,Champion,New York City,United States,20153634
1973,Philadelphia Atoms,MLS,Champion,Philadelphia,United States,6070500
1974,Los Angeles Aztecs,MLS,Champion,Los Angeles,United States,13310447
1975,Tampa Bay Rowdies,MLS,Champion,Tampa Bay Area,United States,3032171
1976,Toronto Metros-Croatia,MLS,Champion,Toronto,Canada,5928040
1977,New York Cosmos,MLS,Champion,New York City,United States,20153634
1978,New York Cosmos,MLS,Champion,New York City,United States,20153634
1979,Vancouver Whitecaps,MLS,Champion,Vancouver,Canada,2463431
1980,New York Cosmos,MLS,Champion,New York City,United States,20153634
1981,Chicago Sting,MLS,Champion,Chicago,United States,9512999
1982,New York Cosmos,MLS,Champion,New York City,United States,20153634
1983,Tulsa Roughnecks,MLS,Champion,Tulsa,United States,
1984,Chicago Sting,MLS,Champion,Chicago,United States,9512999
1996,D.C. United,MLS,Champion,"Washington, D.C.",United States,6131977
1997,D.C. United,MLS,Champion,"Washington, D.C.",United States,6131977
1998,Chicago Fire,MLS,Champion,Chicago,United States,9512999
1999,D.C. United,MLS,Champion,"Washington, D.C.",United States,6131977
2000,Kansas City Wizards,MLS,Champion,Kansas City,United States,2104509
2001,San Jose Earthquakes,MLS,Champion,San Francisco Bay Area,United States,6657982
2002,Los Angeles Galaxy,MLS,Champion,Los Angeles,United States,13310447
2003,San Jose Earthquakes,MLS,Champion,San Francisco Bay Area,United States,6657982
2004,D.C. United,MLS,Champion,"Washington, D.C.",United States,6131977
2005,Los Angeles Galaxy,MLS,Champion,Los Angeles,United States,13310447
2006,Houston Dynamo,MLS,Champion,Houston,United States,6772470
2007,Houston Dynamo,MLS,Champion,Houston,United States,6772470
2008,Columbus Crew SC,MLS,Champion,Columbus,United States,2041520
2009,Real Salt Lake,MLS,Champion,Salt Lake City,United States,1186187
2010,Colorado Rapids,MLS,Champion,Denver,United States,2853077
2011,Los Angeles Galaxy,MLS,Champion,Los Angeles,United States,13310447
2012,Los Angeles Galaxy,MLS,Champion,Los Angeles,United States,13310447
2013,Sporting Kansas City,MLS,Champion,Kansas City,United States,2104509
2014,Los Angeles Galaxy,MLS,Champion,Los Angeles,United States,13310447
2015,Portland Timbers,MLS,Champion,Portland,United States,2424955
2016,Seattle Sounders FC,MLS,Champion,Seattle,United States,3798902
2017,Toronto FC,MLS,Champion,Toronto,Canada,5928040
2018,Atlanta United FC,MLS,Champion,Atlanta,United States,5789700
1967,Kansas City Chiefs,NFL,Runner-up,Kansas City,United States,2104509
1968,Oakland Raiders,NFL,Runner-up,San Francisco Bay Area,United States,6657982
1969,Baltimore Colts,NFL,Runner-up,Baltimore,United States,2798886
1970,Minnesota Vikings,NFL,Runner-up,Minneapolis–Saint Paul,United States,3551036
1971,Dallas Cowboys,NFL,Runner-up,Dallas–Fort Worth,United States,7233323
1972,Miami Dolphins,NFL,Runner-up,Miami–Fort Lauderdale,United States,6066387
1973,Washington Redskins,NFL,Runner-up,"Washington, D.C.",United States,6131977
1974,Minnesota Vikings,NFL,Runner-up,Minneapolis–Saint Paul,United States,3551036
1975,Minnesota Vikings,NFL,Runner-up,Minneapolis–Saint Paul,United States,3551036
1976,Dallas Cowboys,NFL,Runner-up,Dallas–Fort Worth,United States,7233323
1977,Minnesota Vikings,NFL,Runner-up,Minneapolis–Saint Paul,United States,3551036
1978,Denver Broncos,NFL,Runner-up,Denver,United States,2853077
1979,Dallas Cowboys,NFL,Runner-up,Dallas–Fort Worth,United States,7233323
1980,Los Angeles Rams,NFL,Runner-up,Los Angeles,United States,13310447
1981,Philadelphia Eagles,NFL,Runner-up,Philadelphia,United States,6070500
1982,Cincinnati Bengals,NFL,Runner-up,Cincinnati,United States,2165139
1983,Miami Dolphins,NFL,Runner-up,Miami–Fort Lauderdale,United States,6066387
1984,Washington Redskins,NFL,Runner-up,"Washington, D.C.",United States,6131977
1985,Miami Dolphins,NFL,Runner-up,Miami–Fort Lauderdale,United States,6066387
1986,New England Patriots,NFL,Runner-up,Boston,United States,4794447
1987,Denver Broncos,NFL,Runner-up,Denver,United States,2853077
1988,Denver Broncos,NFL,Runner-up,Denver,United States,2853077
1989,Cincinnati Bengals,NFL,Runner-up,Cincinnati,United States,2165139
1990,Denver Broncos,NFL,Runner-up,Denver,United States,2853077
1991,Buffalo Bills,NFL,Runner-up,Buffalo,United States,1132804
1992,Buffalo Bills,NFL,Runner-up,Buffalo,United States,1132804
1993,Buffalo Bills,NFL,Runner-up,Buffalo,United States,1132804
1994,Buffalo Bills,NFL,Runner-up,Buffalo,United States,1132804
1995,San Diego Chargers,NFL,Runner-up,San Diego,United States,3317749
1996,Pittsburgh Steelers,NFL,Runner-up,Pittsburgh,United States,2342299
1997,New England Patriots,NFL,Runner-up,Boston,United States,4794447
1998,Green Bay Packers,NFL,Runner-up,Green Bay,United States,318236
1999,Atlanta Falcons,NFL,Runner-up,Atlanta,United States,5789700
2000,Tennessee Titans,NFL,Runner-up,Nashville,United States,1865298
2001,New York Giants,NFL,Runner-up,New York City,United States,20153634
2002,St. Louis Rams,NFL,Runner-up,St. Louis,United States,2807002
2003,Oakland Raiders,NFL,Runner-up,San Francisco Bay Area,United States,6657982
2004,Carolina Panthers,NFL,Runner-up,Charlotte,United States,2474314
2005,Philadelphia Eagles,NFL,Runner-up,Philadelphia,United States,6070500
2006,Seattle Seahawks,NFL,Runner-up,Seattle,United States,3798902
